"","X1","committee_name","contributor_occupation","college"
"9126",9126,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9127",9127,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9128",9128,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9129",9129,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9130",9130,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9131",9131,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9132",9132,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9133",9133,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9134",9134,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9135",9135,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9136",9136,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9137",9137,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9138",9138,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9139",9139,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9140",9140,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","CornellU"
"9141",9141,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9142",9142,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9143",9143,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9144",9144,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9145",9145,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9146",9146,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9147",9147,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9148",9148,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9149",9149,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9150",9150,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9151",9151,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9152",9152,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9153",9153,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9154",9154,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
"9155",9155,"CONGRESSIONAL BLACK CAUCUS PAC","PROFESSOR","RPI"
