"","X1","committee_name","contributor_occupation","college"
"8497",8497,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8498",8498,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8499",8499,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8500",8500,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8501",8501,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8502",8502,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8503",8503,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8504",8504,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8505",8505,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8506",8506,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8507",8507,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8508",8508,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8509",8509,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8510",8510,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8511",8511,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8512",8512,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8513",8513,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8514",8514,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8515",8515,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8516",8516,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8517",8517,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8518",8518,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8519",8519,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8520",8520,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8521",8521,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8522",8522,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8523",8523,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8524",8524,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8525",8525,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8526",8526,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8527",8527,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8528",8528,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8529",8529,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8530",8530,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8531",8531,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8532",8532,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8533",8533,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8534",8534,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8535",8535,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8536",8536,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8537",8537,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8538",8538,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8539",8539,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8540",8540,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8541",8541,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8542",8542,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8543",8543,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8544",8544,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8545",8545,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8546",8546,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8547",8547,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8548",8548,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8549",8549,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8550",8550,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8551",8551,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8552",8552,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8553",8553,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8554",8554,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8555",8555,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8556",8556,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8557",8557,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8558",8558,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8559",8559,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
"8560",8560,"IT STARTS TODAY","RESEARCH ASSISTSNT","OhioStateU"
